parent_foodcode,parent_desc,ingred_code1,ingred_desc1,ingred_wt1,ingred_code2,ingred_desc2,ingred_wt2,ingred_code3,ingred_desc3,ingred_wt3,ingred_code4,ingred_desc4,ingred_wt4
13411000.0,"White sauce, milk sauce",81102010.0,"Margarine, stick, salted",28.375,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,4609.0,"Animal fat, bacon grease",40.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,4002.0,Lard,30.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,13020.0,"Beef, retail cuts, separable fat, cooked",21.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,4542.0,"Fat, chicken",6.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,4575.0,"Fat, turkey",2.0,,,,,,
13412000.0,"Milk gravy, quick gravy",81201000.0,Animal fat or drippings,51.25,2047.0,"Salt, table",1.4,,,,,,
14630300.0,Welsh rarebit,81102010.0,"Margarine, stick, salted",4.4,4610.0,"Margarine, regular, 80% fat, composite, stick, with salt",85.0,,,,,,
14630300.0,Welsh rarebit,81102010.0,"Margarine, stick, salted",4.4,4691.0,"Margarine, regular, 80% fat, composite, stick, with salt, with added vitamin D",15.0,,,,,,
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640004.0,"Cheese sandwich, American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640006.0,"Cheese sandwich, American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640010.0,"Cheese sandwich, Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640012.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640012.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640012.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640012.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640012.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640016.0,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640016.0,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640016.0,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640016.0,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640016.0,"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640018.0,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640018.0,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640018.0,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640018.0,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640018.0,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640022.0,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640022.0,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640022.0,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640022.0,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640022.0,"Cheese sandwich, reduced fat Cheddar cheese, on wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640024.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640024.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640024.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640024.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640024.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, no spread",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640028.0,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640028.0,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640028.0,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640028.0,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640028.0,"Cheese sandwich, American cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640030.0,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640030.0,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640030.0,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640030.0,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640030.0,"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640034.0,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640034.0,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640034.0,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640034.0,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640034.0,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640036.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640036.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640036.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640036.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640036.0,"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640040.0,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640040.0,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640040.0,"Cheese sandwich, reduced fat American cheese,, on wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
